,result_theta_l [deg],result_delta_h [m],lambda_delta,lambda_P,Pload
90,3.958318878749196,0.01516439831258165,1.0761445341851539,29744.192626620035,45253.5175879397
91,3.9365423704930427,0.015180846895224254,1.0773118111150433,30074.318500733007,45755.77889447236
92,3.9151207076520222,0.015197204816438381,1.0784726542386776,30404.44437484598,46258.040201005024
93,3.8940443869159935,0.015213498436091766,1.0796289341892995,30734.570248958957,46760.30150753769
94,3.8733042559670134,0.015229743560863263,1.080781772691009,31064.696123071924,47262.56281407035
95,3.8528914969447214,0.015245907906959455,1.0819288787180026,31394.8219971849,47764.824120603014
96,3.8327976112213946,0.01526197856030631,1.083069335820455,31724.947871297874,48267.08542713568
97,3.813014404995556,0.015278040280501282,1.0842091589800122,32055.073745410846,48769.34673366834
98,3.7935339747218686,0.015294050400648795,1.0853453203319663,32385.19961952382,49271.608040201005
99,3.7743486945055342,0.015309965387900304,1.0864747305590854,32715.32549363679,49773.86934673366
100,3.7554512039878314,0.015325834562063934,1.087600889651336,33045.45136774977,50276.13065326633
101,3.7368343962316435,0.015341661180509614,1.088724028768621,33375.57724186274,50778.391959798995
102,3.7184914067529458,0.015357433029404843,1.0898432811538947,33705.70311597571,51280.653266331654
103,3.7004156030434388,0.015373124877900435,1.0909568562949394,34035.82899008868,51782.91457286432
104,3.6826005749117026,0.015388828791673692,1.092071287650807,34365.95486420166,52285.175879396986
105,3.665040124333245,0.015404433979725018,1.093178712916235,34696.08073831463,52787.437185929644
106,3.647728257428751,0.01542004855058976,1.094286804034878,35026.2066124276,53289.69849246231
107,3.6306591751326787,0.015435605684686937,1.0953908191419182,35356.332486540574,53791.959798994976
108,3.613827265498913,0.015451027498460057,1.09648523121532,35686.458360653545,54294.221105527635
109,3.597227096497592,0.015466502883437316,1.0975834449798498,36016.584234766524,54796.4824120603
110,3.580853407829636,0.015481988580677286,1.0986823905561482,36346.710108879495,55298.74371859296
111,3.564701104214691,0.015497287720789732,1.0997680970688875,36676.83598299247,55801.005025125625
112,3.54876524982501,0.015512733036083692,1.1008641769323775,37006.96185710544,56303.26633165829
113,3.5330410602637135,0.015528038003675193,1.1019502969933237,37337.08773121841,56805.52763819095
114,3.5175238979809365,0.015543209467597352,1.103026942939894,37667.21360533139,57307.788944723616
115,3.502209266380305,0.015558467072086524,1.1041097018688888,37997.33947944436,57810.05025125628
116,3.4870928037616973,0.01557375396430749,1.1051945392075797,38327.46535355733,58312.31155778894
117,3.4721702784099757,0.015588895963598581,1.1062690941907618,38657.5912276703,58814.572864321606
118,3.457437584174841,0.015604060860738289,1.1073452741243128,38987.71710178328,59316.83417085427
119,3.442890735068431,0.015619156904456255,1.1084165678611326,39317.84297589625,59819.09547738693
